22,5,22,51,23,5,23,30 ``
25,5,25,71,26,5,26,34 ``
28,5,30,8,31,5,31,32 ``
33,5,35,8,36,5,36,37 ``
38,5,40,8,41,5,41,36 ``
43,5,45,8,46,5,46,37 ``
74,5,78,8,79,5,81,6 ``
83,5,88,8,89,5,91,6 ``
93,5,98,8,99,5,101,6 ``
103,5,107,8,108,5,110,6 ``
112,5,117,8,118,5,142,6 ``
120,9,121,38,122,9,141,37 ``
144,5,148,8,149,5,264,6 ``
164,9,164,76,165,9,166,69 ``
168,9,169,83,170,9,171,94 ``
173,9,173,30,174,9,174,107 ``
177,13,178,63,179,13,181,60 ``
187,9,187,29,188,9,208,10 ``
207,13,207,31,208,11,243,10 ``
194,17,194,69,193,13,196,13 ``
232,17,232,69,231,13,234,14 ``
238,31,238,99,238,17,239,29 ``
245,9,245,24,246,9,250,10 ``
266,5,270,8,271,5,271,53 ``
273,5,277,8,278,5,278,52 ``
280,5,284,8,285,5,285,51 ``
287,5,291,8,292,5,292,53 ``
