793,9,799,12,800,9,813,62 ``
816,21,816,55,817,20,823,48 ``
825,21,825,40,826,21,830,49 ``
832,21,832,39,833,20,847,52 ``
852,1,858,12,859,9,860,64 ``
770,1,776,12,777,8,787,39 ``
747,5,749,8,750,4,761,32 ``
738,5,742,8,743,5,744,30 ``
726,5,732,8,733,4,735,25 ``
721,13,721,30,722,12,722,70 ``
665,13,665,76,666,12,693,122 ``
611,5,613,8,614,5,615,1 ``
615,1,618,8,619,4,663,63 ``
554,17,554,74,555,17,608,24 ``
550,17,553,1,550,17,553,1 ``
527,9,527,20,528,8,532,24 ``
511,9,511,29,512,9,524,42 ``
488,5,496,8,497,5,509,60 ``
461,9,461,109,462,9,484,56 ``
441,5,448,8,449,5,459,28 ``
391,18,392,1,393,12,436,42 ``
385,16,385,67,386,16,388,88 ``
378,17,379,26,380,16,383,30 ``
363,16,363,99,364,16,376,27 ``
322,9,322,29,323,9,360,53 ``
317,9,317,40,318,9,319,57 ``
308,9,308,60,309,9,312,24 ``
287,4,292,8,293,5,307,1 ``
244,9,244,48,245,9,286,1 ``
221,13,221,36,222,13,240,89 ``
205,13,208,46,210,13,219,37 ``
172,13,205,1,172,13,205,1 ``
166,1,166,48,167,8,170,46 ``
148,12,148,36,149,12,162,58 ``
51,4,53,8,54,5,148,1 ``
45,5,48,8,49,5,50,1 ``
39,5,42,8,43,5,44,1 ``
33,1,36,8,37,4,37,39 ``
