20,5,22,9,23,5,24,1 ``
25,4,27,8,28,3,28,48 ``
30,4,32,8,33,4,34,1 ``
34,1,37,8,38,4,39,1 ``
40,5,42,8,43,3,43,42 ``
45,5,47,8,48,5,49,1 ``
50,3,52,8,53,4,54,1 ``
55,3,57,8,58,5,59,1 ``
60,3,62,8,63,3,69,29 ``
71,8,72,52,74,8,78,1 ``
79,8,81,50,82,8,107,35 ``
109,1,114,8,115,4,117,22 ``
120,4,124,8,125,4,126,22 ``
129,4,134,8,135,4,147,32 ``
151,4,156,8,157,4,168,30 ``
171,4,176,8,177,4,188,34 ``
191,4,198,8,199,5,201,31 ``
203,1,206,8,207,4,209,34 ``
212,5,219,10,212,4,220,8 ``
212,4,220,8,221,4,224,19 ``
227,5,229,8,230,4,231,32 ``
227,5,229,8,230,4,241,32 ``
244,5,249,8,250,5,268,38 ``
271,4,277,8,278,4,289,37 ``
292,5,300,8,301,5,302,32 ``
305,4,313,8,314,5,315,65 ``
318,4,327,8,328,5,340,30 ``
343,4,348,8,349,5,351,34 ``
354,5,356,8,357,4,361,31 ``
364,4,368,8,369,4,375,33 ``
378,3,382,8,383,5,389,32 ``
392,5,397,8,398,5,408,31 ``
