14,1,20,4,24,9,26,12 ``
24,9,26,12,24,9,26,12 ``
23,4,26,12,27,9,27,14 ``
29,9,31,12,32,9,32,15 ``
34,9,36,12,37,9,37,17 ``
39,9,41,12,42,9,43,1 ``
44,8,46,12,47,9,47,16 ``
49,9,51,12,52,9,52,13 ``
74,4,74,58,74,4,74,58 ``
76,5,79,8,80,5,81,1 ``
82,5,85,8,86,4,86,45 ``
82,5,85,8,86,5,92,1 ``
93,5,95,8,96,4,97,1 ``
98,5,100,8,101,3,102,1 ``
106,5,106,34,106,5,106,34 ``
108,5,110,8,111,5,111,39 ``
113,5,115,8,116,5,117,1 ``
118,5,120,8,121,5,121,37 ``
123,5,125,8,126,5,127,1 ``
128,4,132,8,133,4,133,41 ``
135,5,137,8,138,4,138,36 ``
140,5,142,8,143,5,143,43 ``
145,4,147,8,148,4,152,57 ``
154,1,159,8,160,4,167,33 ``
170,5,174,8,175,5,180,25 ``
183,5,189,8,190,4,212,52 ``
215,5,220,8,221,5,250,33 ``
253,5,258,8,259,4,278,74 ``
281,4,288,8,289,4,292,32 ``
295,4,302,8,303,4,306,32 ``
308,1,313,8,314,5,315,33 ``
318,5,321,8,322,5,323,32 ``
326,1,330,8,331,4,332,37 ``
335,5,339,8,340,5,341,38 ``
344,5,348,8,349,4,350,35 ``
353,5,357,8,358,5,359,36 ``
362,5,366,8,367,4,368,29 ``
371,4,375,8,371,4,375,8 ``
371,4,375,8,376,5,377,30 ``
380,4,384,8,385,5,386,28 ``
389,4,393,8,394,5,395,29 ``
398,5,402,8,403,5,404,27 ``
407,5,411,8,412,5,413,26 ``
415,1,420,8,421,4,422,23 ``
425,5,429,8,430,5,431,24 ``
434,5,438,8,439,5,440,26 ``
443,4,447,8,448,4,449,26 ``
452,4,456,8,457,5,458,31 ``
463,5,467,8,468,5,469,31 ``
472,5,476,8,477,4,478,46 ``
481,5,483,8,484,4,485,36 ``
488,4,493,8,494,5,495,29 ``
498,4,503,8,504,5,505,30 ``
508,5,512,8,513,4,514,29 ``
517,5,522,8,523,5,524,30 ``
527,5,531,8,532,5,533,33 ``
536,5,541,8,542,5,543,39 ``
546,4,550,8,551,4,552,28 ``
555,4,559,8,560,5,561,29 ``
563,1,566,8,567,5,567,36 ``
568,1,571,8,572,5,577,1 ``
578,5,580,8,581,4,582,1 ``
583,5,591,8,592,5,593,36 ``
595,1,601,8,602,5,603,33 ``
606,5,615,8,616,5,617,32 ``
620,4,627,8,628,4,629,35 ``
620,4,627,8,628,4,645,37 ``
648,5,654,8,655,4,691,43 ``
694,21,694,54,695,21,695,39 ``
731,17,731,44,732,17,750,60 ``
753,25,754,32,755,24,755,45 ``
758,24,758,53,758,24,758,53 ``
761,21,761,54,762,21,770,71 ``
773,29,773,84,774,29,774,51 ``
784,32,784,59,784,32,784,59 ``
785,33,785,50,786,32,787,66 ``
788,29,788,51,789,29,789,81 ``
790,34,792,62,793,28,794,85 ``
796,29,796,48,797,29,800,62 ``
804,28,804,59,805,28,806,85 ``
804,28,804,59,805,30,821,23 ``
